dataset	column	dtype	description	n_unique_values	n_empty_values	bids_levels	bids_units	is_categorical	min	max	standardized_var	llm_classification	llm_snomed_term	llm_label	snomed_label	llm_confidence	reviewer_rating	reviewer_notes	reviewer_name	assessment_term	assessment_label	age_format	exclude
ds002181	age	Int64		2	0			True	6	36	nb:Age								Seb			nb:FromFloat	
ds002181	participant_id	string		226	0			False			nb:ParticipantID								Seb				
ds002181	sex	Int64		0	226			True			nb:Sex								Seb				
ds002385	age	Float64		296	6			False	12.04	33.35	nb:Age								Seb			nb:FromFloat	
ds002385	participant_id	string		152	0			False			nb:ParticipantID								Seb				
ds002385	ses	Int64		3	3			True	1	3	nb:SessionID								Seb				
ds002385	sex	string		3	4			True			nb:Sex								Seb				
ds003474	age	Int64	age of the participant	7	2			True	18	24	nb:Age								Seb			nb:FromFloat	
ds003474	BDI	Int64	Beck Depression Inventory score	26	1			False	0	30		nb:Assessment	273306008	Beck depression inventory	Beck depression inventory	high	correct		Seb				
ds003474	Original_ID	Int64	participant identifier from recording	122	0			False	507	628									Seb				
ds003474	participant_id	string	unique participant identifier	122	0			False			nb:ParticipantID								Seb				
ds003474	sex	Int64	sex of the participant	2	1	one, two		True	1	2	nb:Sex								Seb				
ds003474	STAI	Int64	Speilberger Trait Anxiety Inventory score	40	1			False	22	69		nb:Assessment	other assessment	n/a	not found	medium	missed	typo in description	Seb	273830002			
ds003478	age	Int64	age of the participant	7	2			True	18	24	nb:Age								Seb			nb:FromFloat	
ds003478	BDI	Int64	Beck Depression Inventory score.  Subjects were recruited to be either consistencly low or consistently high.  See Comp Psychiatry paper for more info.	26	1			False	0	30		nb:Assessment	273306008	Beck depression inventory	Beck depression inventory	high	correct		Seb				
ds003478	HamD	Int64	Only people SCIDed had the HamD	14	90			False	1	21		nb:Assessment	273503001	Hamilton rating scale for depression	Hamilton rating scale for depression	high			Seb				
ds003478	Original_ID	Int64	participant identifier from recording	122	0			False	507	628									Seb				
ds003478	participant_id	string	unique participant identifier	122	0			False			nb:ParticipantID								Seb				
ds003478	SCID	string	Only Hi BDI (no CTL) were invited for SCID.  Many declined, so SCID only available for some high-BDI subjects.	4	0			True											Seb				
ds003478	SCID_notes	string	SCID outcome	19	93			False											Seb				
